username,first_name,last_name,affiliation
joamatab,Joaquin,Matres,GDSFactory+
simbilod,Simon,Bilodeau,Google
tvt173,Troy,Tamas,GDSFactory+
SkandanC,Skandan,Chandrasekar,University of Waterloo
MatthewMckee4,Matthew,Mckee,Glasgow University
thomasdorch,Thomas,Dorch,Hyperlight
nikosavola,Niko,Savola,Google, Aalto University
sebastian-goeldi,Sebastian,Goeldi,PsiQuantum
flaport,Floris,Laporte,GDSFactory+
HelgeGehring,Helge,Gehring,Google
daquintero,Dario,Antonio Quintero Dominguez,Flexcompute, University of Bristol
yaugenst,Yannick,Augenstein,Flexcompute
lucasgrjn,Lucas,Grosjean,Google
FaragElsayed2,Farag,Elsayed,Mabrains
Edward-Deacon,Edward,Deacon,University of Bristol
Jelly298,JellyLab,,?
jan-david-fischbach,Jan,David Fischbach,Karlsruhe Institute for Technology
friederike-joehlinger-wavephotonics,Friederike,Joehlinger,Wavephotonics
fp-matt,Matthew,Larkins,Freedom Photonics
server5056,,,?
atorkmabrains,Amro,Tork,Mabrains
alexsludds,Alex,Sludds,Lightmatter
lawrence-r,Lawrence,Rosenfeld,University of Bristol
Vivswan,Vivswan,Shah,University of Pittsburgh, Carnegie Mellon University
thomaslima,Thomas,Ferreira de Lima,Quantum Transistors
lucas-flexcompute,Lucas,Heitzmann,Flexcompute
QuentinWach,Quentin,Wach,Technical University of Berlin
basnijholt,Bas,Nijholt,IonQ
threaddy,fgarbu,,Ugent, imec
simenmm,Simen,Martinussen,University of Twente
zobristnicholas,Nicholas,Zobrist,Google
jonbenfri,Jonathan,Friedman,CUNY
manoranjanminz,Manoranjan,Minz,IIT Guwahati
alibillalhammoud,Ali,Hammoud,University of Michigan
95-martin-orion,Orion,Martin,Google
AntoineGervais,Antoine,Gervais,EXFO
joelslaby,Joel,Slaby,Georgia Institute of Technology
wuzhonghan,Zhonghan,Wu,QoreTek
leochand101,Cramamur,,Alphacore
kch3782,Changhyun,Kim,Seoul National University
peteshadbolt,Pete,Shadbolt,PsiQuantum
jramirez857,Jose,Ramirez,Cloudzero
Daasein,Wei,Xiangyu,Tongji University
sequoiap,Sequoia,Ploeg,Nokia
mithro,Tim,Ansell,wafer-space
st4eve,Tristan,Austin,Queen's University
LIU-Yinyi,Yinyi,Liu,Hong Kong University of Science and Technology
bhnzhang,Bohan,Zhang,Flexcompute
donato-ax,Donato,Jiménez Benetó,Axiomatic AI
edelmanjm,,,?
jaimergp,Jaime,Rodríguez-Guerra,Quansight
momchil-flex,Momchil,Minkov,Flexcompute
peterFecko,Peter,Fecko,Brno University of Technology
pyjavo,Javier,Daza,WeKnow
rmcamacho,Ryan,Camacho,Brigham Young University
sunilkpai,Sunil,Pai,PsiQuantum
thanojo,,,?
wwwwwwzx,,,?
yoshi74ls181,,,?
aaronmondal,Aaron,Siddhartha Mondal,Trace Machina
smartalecH,Alec,Hammond,Meta
oskooi,Ardavan,Oskooi,Meta
cloudcalvin,Calvin,M,?
dominauta,David,Domenech,VLC Photonics
elamdf,Elam,Day-Friedland,UC Berkeley
feifanphys,ffaity,,?
gronniger,Gregor,Ronniger,Institut für Mikroelektronik Stuttgart
hakancelikdev,Hakan,Çelik,Trendyol
gJDelavega,John,Delavega,Google ?
Python-simulation,Jonathan,Peltier,NcodiN
lukasc-ubc,Lukas,Chrostowski,University of British Columbia
mdecea,Marc,de Cea,Google
delanema,Matthew,Delaney,University of Southampton
minrk,Benjamin,Ragan-Kelley,Simula Research Laboratory
pelmers,Peter,Elmers,Databricks
rgiroud,Robin,Giroud,?